"","from","to","m","km","miles","seconds","minutes","hours","Country.to","Country.from"
"1","Barcelona","Aalborg",2263231,2263.231,1406.3717434,74599,1243.31666666667,20.7219444444444,"Denmark","Spain"
"2","Barcelona","Amadora",1255222,1255.222,779.9949508,40417,673.616666666667,11.2269444444444,"Portugal","Spain"
"3","Barcelona","Amsterdam",1533242,1533.242,952.7565788,51265,854.416666666667,14.2402777777778,"Netherlands","Spain"
"4","Barcelona","Antwerp",1372895,1372.895,853.116953,45479,757.983333333333,12.6330555555556,"Belgium","Spain"
"5","Barcelona","Arhus",2153952,2153.952,1338.4657728,71125,1185.41666666667,19.7569444444444,"Denmark","Spain"
"6","Barcelona","Athens",3079321,3079.321,1913.4900694,105670,1761.16666666667,29.3527777777778,"Greece","Spain"
"7","Barcelona","Barcelona",0,0,0,0,0,0,"Spain","Spain"
"8","Barcelona","Bergen",2924724,2924.724,1817.4234936,115884,1931.4,32.19,"Norway","Spain"
"9","Barcelona","Berlin",1864434,1864.434,1158.5592876,60835,1013.91666666667,16.8986111111111,"Germany","Spain"
"10","Barcelona","Bettembourg",1142885,1142.885,710.188739,37275,621.25,10.3541666666667,"Luxembourg","Spain"
"11","Barcelona","Birkirkara",2377633,2377.633,1477.4611462,95669,1594.48333333333,26.5747222222222,"Malta","Spain"
"12","Barcelona","Birmingham",NA,NA,NA,NA,NA,NA,"UK","Spain"
"13","Barcelona","Braga",1129944,1129.944,702.1472016,36063,601.05,10.0175,"Portugal","Spain"
"14","Barcelona","Bratislava",1888341,1888.341,1173.4150974,63968,1066.13333333333,17.7688888888889,"Slovakia","Spain"
"15","Barcelona","Brno",1916144,1916.144,1190.6918816,62734,1045.56666666667,17.4261111111111,"Czech Republic","Spain"
"16","Barcelona","Brussels",1346045,1346.045,836.432363,44505,741.75,12.3625,"Belgium","Spain"
"17","Barcelona","Bucharest",2739678,2739.678,1702.4359092,97427,1623.78333333333,27.0630555555556,"Romania","Spain"
"18","Barcelona","Budapest",1915731,1915.731,1190.4352434,64496,1074.93333333333,17.9155555555556,"Hungary","Spain"
"19","Barcelona","Burgas",2760786,2760.786,1715.5524204,93887,1564.78333333333,26.0797222222222,"Bulgaria","Spain"
"20","Barcelona","Celje",1531784,1531.784,951.8505776,52239,870.65,14.5108333333333,"Slovenia","Spain"
"21","Barcelona","Charleroi",1316619,1316.619,818.1470466,43056,717.6,11.96,"Belgium","Spain"
"22","Barcelona","Cluj-Napoca",2327748,2327.748,1446.4626072,84711,1411.85,23.5308333333333,"Romania","Spain"
"23","Barcelona","Cologne",1357878,1357.878,843.7853892,45951,765.85,12.7641666666667,"Germany","Spain"
"24","Barcelona","Copenhagen",2141104,2141.104,1330.4820256,74301,1238.35,20.6391666666667,"Denmark","Spain"
"25","Barcelona","Cracow",2251548,2251.548,1399.1119272,73129,1218.81666666667,20.3136111111111,"Poland","Spain"
"26","Barcelona","Craiova",2341623,2341.623,1455.0845322,83403,1390.05,23.1675,"Romania","Spain"
"27","Barcelona","Daugavpils",2955064,2955.064,1836.2767696,103891,1731.51666666667,28.8586111111111,"Latvia","Spain"
"28","Barcelona","Debrecen",2168006,2168.006,1347.1989284,72274,1204.56666666667,20.0761111111111,"Hungary","Spain"
